803 Actor6 => Actor6 [label="Remind"];
804 Actor6 <= Actor6 [label="Remind"];
805 Actor6 => Actor22 [label="Rumor"];
806 Actor6 => Actor6 [label="Remind"];
807 Actor6 <= Actor6 [label="Remind"];
808 Actor6 => Actor40 [label="Rumor"];
809 Actor6 => Actor6 [label="Remind"];
810 Actor6 <= Actor6 [label="Remind"];
811 Actor6 => Actor74 [label="Rumor"];
812 Actor6 => Actor6 [label="Remind"];
813 Actor6 <= Actor6 [label="Remind"];
814 Actor6 => Actor29 [label="Rumor"];
815 Actor6 => Actor6 [label="Remind"];
816 Actor6 <= Actor6 [label="Remind"];
817 Actor6 => Actor30 [label="Rumor"];
818 Actor6 => Actor6 [label="Remind"];
819 Actor6 <= Actor6 [label="Remind"];
820 Actor6 => Actor95 [label="Rumor"];
821 Actor6 => Actor6 [label="Remind"];
822 Actor6 <= Actor6 [label="Remind"];
823 Actor6 => Actor60 [label="Rumor"];
824 Actor6 => Actor6 [label="Remind"];
825 Actor6 <= Actor6 [label="Remind"];
826 Actor6 => Actor3 [label="Rumor"];
827 Actor6 => Actor6 [label="Remind"];
828 Actor6 <= Actor6 [label="Remind"];
829 Actor6 => Actor3 [label="Rumor"];
830 Actor6 => Actor6 [label="Remind"];
831 Actor6 <= Actor6 [label="Remind"];
832 Actor6 => Actor77 [label="Rumor"];
833 Actor6 => Actor6 [label="Remind"];
834 Actor6 <= Actor6 [label="Remind"];
835 Actor6 => Actor61 [label="Rumor"];
836 Actor6 => Actor6 [label="Remind"];
837 Actor6 <= Actor6 [label="Remind"];
838 Actor6 => Actor50 [label="Rumor"];
839 Actor6 => Actor6 [label="Remind"];
840 Actor6 <= Actor6 [label="Remind"];
841 Actor6 => Actor74 [label="Rumor"];
842 Actor6 => Actor6 [label="Remind"];
843 Actor6 <= Actor6 [label="Remind"];
844 Actor6 => Actor17 [label="Rumor"];
845 Actor6 => Actor6 [label="Remind"];
846 Actor6 <= Actor6 [label="Remind"];
847 Actor6 => Actor77 [label="Rumor"];
848 Actor6 => Actor6 [label="Remind"];
849 Actor6 <= Actor9 [label="RemoveMe(G"];
850 Actor6 <= Actor68 [label="RemoveMe(G"];
851 Actor6 <= Actor50 [label="RemoveMe(G"];
852 Actor6 <= Actor74 [label="RemoveMe(G"];
853 Actor6 <= Actor77 [label="RemoveMe(G"];
854 Actor6 <= Actor3 [label="RemoveMe(G"];
855 Actor6 <= Actor31 [label="RemoveMe(G"];
856 Actor6 <= Actor23 [label="RemoveMe(G"];
857 Actor6 <= Actor26 [label="RemoveMe(G"];
858 Actor6 <= Actor6 [label="Remind"];
859 Actor6 => Actor29 [label="Rumor"];
860 Actor6 => Actor6 [label="Remind"];
861 Actor6 <= Actor6 [label="Remind"];
862 Actor6 => Actor56 [label="Rumor"];
863 Actor6 => Actor6 [label="Remind"];
864 Actor6 <= Actor6 [label="Remind"];
865 Actor6 => Actor95 [label="Rumor"];
866 Actor6 => Actor6 [label="Remind"];
867 Actor6 <= Actor6 [label="Remind"];
868 Actor6 => Actor56 [label="Rumor"];
869 Actor6 => Actor6 [label="Remind"];
870 Actor6 <= Actor6 [label="Remind"];
871 Actor6 => Actor22 [label="Rumor"];
872 Actor6 => Actor6 [label="Remind"];
873 Actor6 <= Actor6 [label="Remind"];
874 Actor6 => Actor80 [label="Rumor"];
875 Actor6 => Actor6 [label="Remind"];
876 Actor6 <= Actor60 [label="RemoveMe(G"];
877 Actor6 <= Actor61 [label="RemoveMe(G"];
878 Actor6 <= Actor44 [label="RemoveMe(G"];
879 Actor6 <= Actor19 [label="RemoveMe(G"];
880 Actor6 <= Actor43 [label="RemoveMe(G"];
881 Actor6 <= Actor40 [label="RemoveMe(G"];
882 Actor6 <= Actor48 [label="RemoveMe(G"];
883 Actor6 <= Actor56 [label="RemoveMe(G"];
884 Actor6 <= Actor95 [label="RemoveMe(G"];
